Nr,Date, Epochs,DETAILS,MODEL_VERSION
0,2024-03-23 02:30,3,NULL,NULL
1,2024-03-23 04:43,3,NULL,NULL
2,2024-03-23 13:35,5,NULL,NULL
3,2024-03-23 18:49,10,NULL,NULL
4,2024-03-24 01:41,10,NULL,NULL
5,2024-03-24 23:38,2,NULL,NULL
6,2024-03-25 01:01,1,NULL,NULL
7,2024-03-25 15:05,5,NULL,NULL
8,2024-03-26 04:34,15,NULL,NULL
9,2024-03-27 04:15,20,NULL,NULL
10,2024-03-28 00:22,1,NULL,NULL
11,2024-03-28 02:10,1,NULL,NULL
12,2024-03-28 21:08,1,NULL,NULL
13,2024-03-30 13:06,20,NULL,NULL
14,2024-03-30 22:21,20,NULL,NULL
16,2024-04-05 00:13,3,NULL,NULL
17,2024-04-05 00:35,3,NULL,NULL
18,2024-04-07 09:41,35,NULL,NULL
19,2024-04-08 11:24,35,NULL,NULL
20,2024-04-09 01:10,1,augmentation and clahe applied,NULL
21,2024-04-10 06:43,35,NULL,NULL
22,2024-04-10 08:12,30,augmentation and clahe applied,NULL
23,2024-04-11 02:24,4,NULL,NULL
24,2024-04-11 06:06,10,augmentation and clahe applied,NULL
25,2024-04-11 21:41,10,augmentation and clahe applied,NULL
26,2024-04-11 21:59,8,NULL,NULL
27,2024-04-12 10:42,15,augmentation and clahe applied,NULL
28,2024-04-15 01:26,1,augmentation and clahe applied,NULL
29,2024-04-15 03:16,1,NULL,NULL
30,2024-04-15 20:47,25,augmentation and clahe applied,NULL
31,2024-04-15 21:19,25,NULL,NULL
32,2024-04-16 22:46,30,augmentation and clahe applied,NULL
33,2024-04-17 00:19,30,NULL,NULL
34,2024-04-17 14:55,40,augmentation and clahe applied,NULL
35,2024-04-19 03:42,1,"augmentation and clahe applied, adding layers",4
36,2024-04-21 02:21,50,NULL,NULL
37,2024-04-21 18:53,50,"augmentation and clahe applied, adding layers",4
38,2024-04-22 03:45,45,augmentation and clahe applied,NULL
39,2024-04-22 23:12,1,"augmentation and clahe applied, adding layers",4
40,2024-04-23 01:31,1,"augmentation and clahe applied, adding layers",4
41,2024-04-24 16:24,45,augmentation and clahe applied,NULL
42,2024-04-24 16:24,45,"augmentation and clahe applied, adding layers",4
43,2024-04-28 00:14,1,"augmentation applied, ADDING LAYERS, aptos+ddr",6
44,2024-04-28 06:52,1,"augmentation applied, aptos+ddr",5
45,2024-05-01 15:03,40,"augmentation applied, aptos+ddr",5
46,2024-05-02 15:02,55,augmentation and clahe applied,3_2
47,2024-05-07 23:44,1,"augmentation and clahe applied, + gaussian filter",7
48,2024-05-08 04:58,1,"augmentation and clahe applied, + normalise",8
49,2024-05-08 05:03,1,"augmentation and clahe applied, crop",9
50,2024-05-08 15:54,1,"augmentation and clahe applied,normalise, crop",10
51,2024-05-08 15:54,1,"augmentation and clahe applied,gaussian filter, crop",10
52,2024-05-10 11:17,55,"augmentation and clahe applied, + gaussian filter",7
53,2024-05-11 09:10,55,"augmentation and clahe applied, + normalise",8
54,2024-05-13 19:48,55,"augmentation and clahe applied, crop",9
55,2024-05-14 19:08,55,"augmentation and clahe applied,normalise, crop",10
56,2024-05-15 02:31,55,"augmentation and clahe applied,gaussian filter, crop",11
57,2024-05-16 02:22,55,"augmentation and clahe applied,gaussian filter, crop",11
58,2024-05-16 10:04,55,"augmentation and clahe applied, + gaussian filter",7
59,2024-05-18 00:55,55,"augmentation and clahe applied, + normalise",8
60,2024-05-19 02:14,55,"augmentation and clahe applied, + normalise",8
61,2024-05-20 07:48,55,"augmentation and clahe applied, + gaussian filter",7
62,2024-05-21 00:31,55,without augmentation and filters,12
63,2024-05-22 05:34,55,"augmentation and clahe applied, + gaussian filter",7
64,2024-05-23 16:58,55,"augmentation and clahe applied, + gaussian filter",7
65,2024-05-26 02:38,55,"augmentation and clahe applied, + gaussian filter",7
66,2024-05-27 04:55,55,"augmentation and clahe applied, + gaussian filter",7
